ID,sex,age,freq_alcohol,exp_kta,exp_kta2,reason_non_kta,most_pkta,sat_flavor,sat_sweet,sat_sour,sat_smell,sat_swallow,sat_degree,menu,most_menu,6-4. 위 문항(6번)에서 답한 전통주와 가장 어울리는 날씨는 무엇인가요?,6-5. 위 문항(6번)에서 답한 전통주를 마시게 된 주된 경로는 무엇입니까?,"7. 위 선택지에 제시된 내용을 제외하고 마셔 본 전통주와 관련된 자신만의 추천해주고 싶은 경험(주된 경험, 먹었던 안주, 날씨 등)을 자유롭게 써주세요. (주관식)",pi_kta,8-1. 위 문항의 전통주를 구매하지 않은 주된 이유는 무엇인가요?,9. 다음 항목에서 가장 선호하는 주종은 무엇입니까?,9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [맛],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [당도],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [산도],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [향],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [목넘김],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [도수],9-2. 위 문항(9번)에서 답한 주종과 같이 먹었던 안주는 무엇입니까?(최대 3개),9-3. 위 문항(9번)에서 답한 주종과 같이 먹었던 안주 중에 가장 추천해주고 싶은 안주는 무엇입니까?,9-4. 위 문항(9번)에서 답한 주종과 가장 어울리는 날씨는 무엇인가요?,9-5. 위 문항(9번)에서 답한 주종을 마시게 된 주된 경로는 무엇입니까?,"10. 위 선택지에 제시된 내용을 제외하고 마셔 본 주종과 관련된 자신만의 추천해주고 싶은 경험(주된 경험, 먹었던 안주, 날씨 등)을 자유롭게 써주세요. (주관식)",11. 위 문항(9번)에서 답한 주종을 다음에도 구매할 의사가 있으십니까?
1,1,1,4,1,1,,4,4,5,4,5,3,1,1,1,1,5,,2,,3,2,4,4,2,5,2,2,8,6,2,친구들과 치즈에 양주먹으면 맛있음,2
2,2,1,4,1,1,,10,5,4,5,4,3,3,3,3,6,5,,2,,6,4,5,5,4,5,3,2,2,1,3,,2
3,1,1,4,1,1,,2,5,5,3,4,5,5,3,12,1,5,햇빛이 쨍쨍한 날...등산하고 샤워한 뒤에 마시는 막걸리와 열무김치의 맛...잊지 못합니다.,2,,3,5,3,3,4,4,5,3,3,6,3,슬러시 맥주와 오징어 순대의 조합 기가 멕힙니다.... 속초에서의 달달했던 한 여름밤이 기억나네요,2
4,1,1,4,2,1,,5,3,2,2,3,5,5,3,5,2,3,다음날 숙취를 피하고 싶으면 도수 센 증류주 추천합니다.,2,,1,3,2,2,3,5,5,3,4,6,3,"1. 매콤한 것과 국물과 곁들이고 싶을때 소주
2. 온도, 습도와 도수는 반비례한다.",2
5,1,1,5,2,2,2,,,,,,,,,,,,,,,4,4,4,3,4,4,2,8,8,6,3,잘 안마셔서 모름,2
6,2,1,4,1,1,,4,5,3,3,4,4,4,1,4,6,3,,2,,3,5,4,4,4,5,4,1,8,6,3,,2
7,1,1,3,1,1,,2,5,5,4,3,4,4,2,6,6,5,,2,,1,2,2,2,2,2,5,2,3,6,1,,2
8,2,1,4,1,1,,1,2,4,2,4,2,3,11,11,6,1,비오는날 말고 햇볕 쨍쨍한날에도 막걸리의 탄산때문에 잘 어우러졌던것같아요.,3,,3,4,4,4,4,4,3,8,8,6,3,맥주는 마른안주나 튀김이랑 잘 맞는것같아요.,2
9,1,1,4,2,1,,1,4,4,3,4,4,4,1,1,6,3,,2,,3,5,5,5,5,5,5,1,8,5,2,,2
10,1,1,4,1,1,,3,4,4,4,4,4,4,2,11,2,3,,2,,4,4,4,4,4,4,4,5,8,6,3,,2
11,1,2,5,1,2,2,,,,,,,,,,,,,,,5,5,3,3,4,4,3,6,8,1,3,날이 좋아서 한강에서 치맥,2
12,2,1,5,2,1,,12,4,4,4,4,4,4,7,8,6,5,카시스 오렌지는 달아서 술안땡기는 꿀꿀한 날에 어른이가 마시기 좋습니다,2,,2,3,4,4,3,3,3,1,8,6,3,과일 소주는 친구들하고 술게임에 딱입니다 호불호라 머리아프다는 벌칙이 가능하거든요 ㅎㅎ,2
13,1,1,4,1,1,,10,5,5,4,5,5,4,1,2,2,3,막걸리 비오는날,2,,3,4,4,4,4,4,4,1,8,1,3,,2
14,1,1,5,2,1,,1,3,4,3,4,2,3,1,11,2,3,,2,,3,4,3,4,4,5,3,2,8,6,3,,2
15,1,1,1,2,1,,1,4,4,3,4,4,4,11,11,2,5,,2,,3,4,4,4,4,4,4,6,8,6,3,,2
16,1,1,5,2,2,2,,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,8,6,3,,3
17,1,1,4,1,1,,2,3,3,3,3,3,3,11,11,6,5,,2,,1,3,3,3,3,3,3,2,2,6,3,,2
18,1,2,5,1,1,,10,5,5,5,5,5,5,5,7,6,3,,2,,4,5,5,5,5,5,5,6,7,6,2,,2
19,1,1,5,1,1,,1,2,3,3,3,3,3,4,5,2,1,,1,2,3,4,4,2,2,2,2,1,5,1,2,,2
20,1,1,5,2,2,2,,,,,,,,,,,,,,,3,4,4,4,4,4,4,2,1,1,3,,2
21,1,1,3,2,1,,99,4,4,4,4,4,3,11,11,6,3,,2,,1,3,2,2,3,3,3,2,2,6,1,,2
22,2,1,4,1,1,,10,3,2,4,4,3,2,1,11,2,3,비오는날 막걸리,2,,1,3,3,3,3,2,2,1,3,6,3,,2
23,1,1,4,1,1,,7,5,5,5,5,5,5,2,2,5,5,,1,2,4,5,5,5,5,5,5,6,8,5,3,,2
24,1,3,1,1,1,,10,3,3,3,4,4,3,2,11,2,3,막걸리 파전,2,,1,5,5,5,4,4,4,2,4,2,2,소주에 삼겹살,2
25,1,1,4,2,1,,1,2,2,2,2,2,2,1,1,2,3,,2,,1,3,3,3,3,3,3,2,2,6,3,,2
26,1,1,3,1,1,,10,4,4,3,4,3,1,2,3,6,5,역시 전통주는 엿이나 먹고 먼지가 많은 날에 삽겹살에 소주가 최고지,1,2,1,1,1,1,1,3,3,1,2,3,3,쓰디쓴 인생 삽겹살에 소주 한잔이라면 주말까지 버틸 수 있지,2
27,2,1,3,2,1,,6,3,4,3,4,3,3,2,1,4,4,,2,,1,3,4,3,3,3,3,3,8,3,3,,2
28,2,1,3,1,1,,3,4,3,3,4,4,3,1,11,2,3,,2,,3,4,3,3,3,4,4,7,7,1,3,,2
29,1,1,4,1,1,,7,4,4,3,4,4,5,2,2,1,5,,2,,1,4,4,4,3,3,3,2,4,1,3,,2
30,1,1,5,2,2,1,,,,,,,,,,,,,,,5,3,3,3,3,3,3,1,8,2,5,,1
31,1,2,3,1,1,,6,4,4,4,5,3,5,2,2,6,1,비오는날은 막걸리쥬,2,,3,5,5,5,5,5,5,6,8,1,3,운동하고 먹는 맥주는 개꾸르르릇맛,2
32,1,1,4,1,1,,10,4,4,4,4,4,4,1,11,2,3,,2,,3,4,4,4,4,4,4,1,8,6,3,,2
33,1,1,5,1,1,,4,5,5,5,5,5,5,5,5,2,3,,2,,4,5,5,5,5,5,5,1,1,6,3,,2
34,1,1,5,2,2,2,,,,,,,,,,,,,,,3,3,3,2,1,3,3,6,6,1,3,,3
35,1,1,2,1,1,,3,4,5,5,5,4,4,1,10,2,2,,2,,1,5,5,5,5,5,5,3,3,6,6,,2
36,1,1,4,1,1,,5,3,3,3,4,3,3,3,3,5,5,,3,,1,3,2,2,2,4,4,1,4,6,3,,2
37,1,1,5,1,1,,1,3,3,3,3,4,4,10,10,6,3,없음,3,,1,3,3,3,3,3,3,3,3,6,3,없음,2
38,1,1,5,1,1,,6,3,2,2,3,3,4,1,3,3,5,,3,,1,3,3,3,3,3,3,1,2,1,3,,2
39,1,1,5,2,1,,1,3,2,2,4,3,2,6,11,2,3,,3,,2,4,4,3,3,4,3,4,4,6,3,,3
40,1,3,4,1,1,,2,4,4,5,5,5,5,1,11,2,2, 친구와 한여름에 강남 역삼동의 전통주 갤러리를 방문 후 친구집에서 시원한 에어컨과 냉장실에서 꺼낸 시원한 전통주를 두부김치와 함께 먹은 그 맛을 잊을수 없습니다,2,,1,4,4,4,4,4,4,1,2,6,1,"삼겹살, 소고기, 오리 등 구이류에는 쏘주가 진리",2
41,1,1,4,1,1,,8,3,4,4,4,4,4,3,5,6,2,,1,2,3,3,2,2,4,4,4,6,6,6,1,,2
42,1,1,4,1,1,,4,4,4,4,4,4,4,1,6,6,2,좋은 술과 좋은 안주 혼자 마시니 기붕이 좋다,2,,1,5,5,5,5,5,5,1,3,6,3,그냥 좋다,2
43,1,1,4,2,1,,10,4,4,3,4,4,3,2,2,6,1,,2,,4,4,4,4,4,4,3,2,9,6,3,,2
44,1,1,5,2,2,2,,,,,,,,,,,,,,,4,4,3,4,3,4,3,6,1,6,3,,2
45,1,1,5,1,1,,1,3,3,3,3,3,3,1,4,2,3,,2,,3,3,3,3,4,4,3,1,4,6,3,,2
46,1,1,4,1,1,,7,5,4,3,4,3,4,2,11,6,5,,2,,5,5,3,3,5,4,5,1,9,1,3,,2
47,1,1,1,1,1,,1,1,1,1,1,1,1,2,4,6,5,,1,1,1,1,1,1,1,1,1,2,4,1,4,,1
48,2,1,5,1,1,,3,5,5,4,4,5,4,1,1,6,3,,2,,1,2,2,3,3,4,4,1,4,6,4,,2
49,1,1,4,1,1,,5,4,3,3,5,4,3,1,1,6,3,,3,,1,5,3,3,1,3,5,1,2,6,3,,2
50,1,1,5,2,1,,2,4,3,3,3,4,4,11,11,2,3,,3,,1,1,1,1,1,1,1,1,4,6,3,,2
51,1,1,3,1,1,,1,3,3,3,3,3,3,11,5,2,5,,3,,1,3,3,3,2,3,3,1,3,6,3,,2
52,2,1,4,1,1,,3,4,4,4,4,4,3,1,1,6,3,,2,,1,3,3,3,3,3,3,1,4,6,3,,2
53,1,1,3,1,1,,7,5,5,5,5,5,3,4,11,6,5,,2,,1,5,5,5,5,5,2,2,3,6,3,,2
54,1,2,4,1,1,,1,4,3,3,4,4,4,10,11,2,3,,2,,1,4,2,3,4,4,3,2,1,6,1,,2
55,1,1,4,1,1,,2,5,4,5,5,5,5,8,11,2,3,,2,,1,5,5,5,5,5,5,1,4,6,1,,2
56,2,1,3,2,1,,11,4,4,4,4,4,4,1,11,2,1,,2,,1,2,2,2,2,2,4,1,4,6,1,,2
57,1,1,5,2,2,2,,,,,,,,,,,,,,,1,3,3,3,3,3,3,2,1,2,4,,3
58,2,1,3,1,1,,10,5,5,4,5,5,1,11,11,2,1,,2,,1,4,2,3,1,5,5,1,2,5,1,,2
59,2,1,5,1,1,,10,4,4,4,4,4,4,3,3,6,5,날은 좋고 집에서 할꺼없고 혼술하고 싶을 때! 한 잔을 고요히 마시는걸 추천합니다.,2,,7,4,4,4,4,4,4,5,7,6,3,,2
60,2,1,5,1,1,,10,3,4,4,4,3,3,1,11,2,3,,3,,4,4,4,4,3,3,4,7,9,6,2,,2
61,1,1,4,2,1,,2,4,3,3,3,4,4,11,11,2,3,귀찮아,2,,1,2,2,2,2,3,4,2,3,6,1,ㄱㅊㅇ,2
62,1,1,5,1,1,,5,2,1,3,1,3,2,2,2,3,1,,3,,3,5,2,4,3,3,5,1,4,6,3,,2
63,1,1,5,2,1,,2,4,4,4,4,4,3,1,11,2,3,,2,,4,4,4,4,4,4,4,1,8,6,3,,2
64,2,4,5,1,1,,10,4,4,4,4,4,4,3,3,6,1,햇볕좋음 안주횟,2,,1,3,3,3,3,3,3,1,3,2,3,비오는날  아귀찜,3
65,1,1,2,1,1,,1,4,3,3,3,4,4,10,11,2,3,등산하고 내려와서 먹은 막걸리 한사바리,2,,1,3,3,3,3,4,4,3,3,6,1,,2
66,1,1,4,1,1,,2,4,3,3,3,3,4,11,11,2,3,,3,,3,3,3,3,3,3,3,7,8,6,3,,2
67,1,1,4,1,1,,2,4,3,3,4,5,3,2,11,2,3,,2,,3,4,3,4,4,4,5,1,2,5,2,,2
68,1,4,5,1,1,,13,4,3,3,5,5,4,11,5,5,3,전통 막걸리,2,,3,4,3,3,3,4,3,6,11,2,5,,2
69,2,4,5,1,1,,1,5,5,5,5,5,3,1,11,2,5,혼술시 와인잔에 약간의 설탕을 가미해서 동그랑땡 몇개와 창가자리에서 마십니다.,2,,4,5,5,5,5,5,5,8,8,6,3,처음 배운 술,2
70,1,1,5,1,1,,5,4,4,4,4,3,3,3,3,6,5,,2,,1,3,3,3,1,2,4,1,3,6,3,,1
71,1,1,4,1,1,,1,4,3,3,3,3,3,11,11,2,3,축구하고 한잔이요,2,,1,3,3,3,3,3,3,1,1,6,1,회식,2
72,1,1,5,1,1,,1,4,3,2,5,4,1,11,11,3,3,,3,,1,2,2,5,3,5,5,2,3,6,3,,3
73,1,1,5,1,1,,2,5,5,5,3,3,3,11,11,2,3,,2,,1,5,5,5,5,5,5,1,3,6,3,,2
74,1,2,4,1,1,,3,4,4,4,4,4,4,8,11,1,2,언제나 옳다,2,,4,5,5,5,5,5,5,8,4,6,2,언제나 옳다,2
75,2,1,4,1,1,,8,4,4,4,4,4,4,1,1,6,5,,2,,3,4,4,4,4,4,4,2,8,1,4,,2
76,1,1,4,1,1,,5,3,3,3,3,3,3,3,3,2,5,,2,,3,3,3,3,3,3,3,8,8,6,3,,2
77,1,1,1,1,1,,4,4,4,4,4,4,3,1,3,6,1,,2,,8,5,5,5,5,5,5,6,6,6,3,,2
78,2,1,5,1,1,,1,4,4,3,4,4,5,11,11,2,3,비오는 날에는 청각적 효과에 의해 기름진 것들이 먹고싶어져 자연스레 전과 막걸리가 생각남,2,,2,4,5,4,5,3,3,1,2,6,3,달달한 과일소주 날씨에 상관없이 죠아유!,2
79,1,1,5,2,1,,10,4,3,3,4,3,3,3,3,1,3,복분자와 민물장어의 조합은 최고입니다,2,,3,3,3,3,3,4,3,9,9,1,3,,2
80,2,2,3,1,1,,3,5,5,5,3,3,5,1,11,6,3,"달 밝은 밤에 앞에 물이 있고 야외 풍경이 보이는 자리에서 마시는 전통주, 주로 청주 종류 ",2,,4,4,4,4,4,4,5,6,6,1,2,"맥주인데 뭐 특별하게 추천해줄 경험같은 건 없고, 편의점에서 수입백주 4캔 만원에 파는건 정말 괜찮은 전략인듯 ",2
81,1,1,5,1,1,,1,4,3,4,3,3,2,1,11,3,3,비오는날 하늘이 축축할때 2친구와 파전과먹걸리를 먹으면 상당합니다,2,,3,4,3,3,3,4,2,2,7,1,3,너무더워서 시원한게 땡길때 맥주랑 피쫘를 딱..먹으면 행복합니다,2
82,1,1,3,2,2,2,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,3,6,3,,2
83,1,1,5,2,2,4,,,,,,,,,,,,,,,5,4,4,4,4,4,4,6,6,1,2,,2
84,1,1,4,1,1,,6,3,2,3,3,4,3,1,2,6,1,,2,,3,3,2,2,3,4,4,2,6,6,1,,2
85,1,1,4,1,1,,3,4,4,4,4,4,4,11,11,6,3,,2,,4,4,4,4,4,4,4,8,8,6,3,,2
86,2,1,4,1,1,,14,4,3,3,4,4,4,11,11,6,3,비가오는날 대한민국의 국제도시 인천 광역시를 온다면 동인천에 맛있는 전집에서 인천 소성주를 꼭마셔야한다!!,2,,3,4,4,4,4,4,4,8,8,6,3,맥주는 언제나 옳다,2
87,1,1,4,1,1,,10,4,4,3,4,3,1,7,11,6,3,,2,,2,3,2,1,4,3,4,2,4,1,2,,2
88,1,3,4,1,1,,10,5,4,4,4,4,4,2,1,1,3,친구들과 비오는날 먹는 파전에 막걸리,2,,5,5,3,4,4,4,4,6,6,3,3,친구들과 삼겹살에 소주한잔,2
89,1,4,4,1,1,,8,4,4,3,3,3,3,3,3,6,2,막걸리 족발,2,,1,2,3,3,3,2,3,1,3,6,3,,2
90,1,1,5,2,1,,1,5,4,3,4,3,4,10,11,1,3,,2,,3,5,4,4,4,4,4,2,2,1,3,,2
91,1,1,5,2,1,,10,3,3,3,3,2,3,4,5,6,5,,3,,3,4,3,3,4,3,3,6,9,6,2,,2
92,1,1,5,2,1,,1,4,4,4,4,3,4,11,11,2,3,등산 후 막걸리에 감자전 크으,2,,3,3,3,4,4,4,4,6,8,1,3,농구끝나고 치맥 크으,2
93,1,1,5,1,1,,1,4,3,4,3,3,2,1,11,2,3,,3,,3,4,4,4,4,4,4,2,8,1,3,초밥에 시원한 맥주 꿀맛,2
94,2,1,5,1,1,,10,4,4,4,4,4,3,2,3,1,5,,2,,1,2,2,2,2,2,3,1,2,6,3,,2
95,1,1,5,1,1,,3,4,4,2,4,3,2,6,11,2,3,,2,,1,4,4,2,2,3,2,1,1,6,1,,2
96,1,1,5,2,1,,10,4,4,4,4,4,4,3,3,3,5,,2,,3,4,4,4,4,4,4,3,3,3,3,,2
97,2,4,5,1,1,,10,3,3,3,3,2,2,11,11,2,5,진도  홍주,1,2,3,3,3,3,3,3,3,10,11,2,3,딱히  생각해본게   없다,1
98,1,1,4,1,1,,10,4,4,4,4,4,4,2,2,3,5,선선한날 가족들과 삼겹살과 복분자 먹을때 ,2,,5,3,2,4,4,4,4,7,13,1,2,간단히 기네스와 초콜릿으로 하루 마무리,2
99,1,2,4,1,1,,15,5,5,5,5,5,5,2,3,6,5,,2,,1,3,3,3,2,2,4,1,3,6,5,,2
100,1,4,4,1,1,,3,4,4,4,3,4,4,2,11,6,3,등산하면서 정상이나 하산 후 음주가 최고,2,,1,2,2,2,2,2,3,3,3,6,1,,1
101,1,1,4,1,1,,1,4,4,3,3,4,4,11,11,2,3,,2,,5,5,4,4,4,5,4,8,8,6,3,,2
102,1,1,4,2,2,2,,,,,,,,,,,,,,,4,4,4,4,5,4,4,1,6,6,3,,2
103,2,1,4,1,1,,10,4,3,4,5,4,3,2,4,6,6,술은 언제나 옳다,3,,5,4,3,3,4,4,4,6,6,6,2,맥주는 밤에 혼술,2
104,1,1,5,2,1,,1,4,4,3,3,2,3,1,11,2,3,,2,,3,3,3,3,3,4,3,7,9,6,2,,2
105,1,1,4,2,2,2,,,,,,,,,,,,,,,1,3,3,2,3,2,3,5,1,2,5,,1
106,1,1,5,1,1,,99,4,4,3,5,4,5,1,1,6,3,,2,,3,3,3,3,3,5,4,1,8,6,3,,2
107,2,4,1,1,2,2,,,,,,,,,,,,,,,3,2,3,3,4,3,3,6,3,2,3,,2
108,2,1,5,1,1,,2,4,4,4,4,4,4,1,11,2,3,,2,,1,3,2,2,2,3,3,1,2,6,3,,2
109,1,1,4,1,1,,10,3,4,2,4,5,5,11,1,5,5,등산 후 정상에서 멸치와 먹던 장수먹걸리,2,,99,3,3,3,3,3,3,1,4,6,1,,3
110,2,3,1,2,2,2,,,,,,,,,,,,,,,1,3,3,3,3,3,3,1,5,2,3,,2
111,1,1,4,2,1,,1,5,5,5,5,3,4,1,11,2,3,막걸리는 밖에서 쨍쨍한 날 친구끼리 노상하면서 먹은 경험이 정말 좋았던 것 같습니다. 맥주와 도수는 비슷한데 훨씬 빨리 취하는 느낌이 있어서 노는 분위기 조성에 싸면서 좋은 술인 것 같습니다,2,,3,4,4,3,4,5,3,5,12,6,3,맥주는 언제 먹어고 소소한 분위기로 먹을 때 가장 좋았던 것 같습니다. 서로 진지한 얘기를 할 때 최고의 술이라 생각합니다 ,2
112,1,1,4,2,1,,10,2,2,3,5,5,4,1,4,6,5,,2,,3,4,4,4,4,4,4,1,4,6,3,,2
113,2,4,5,1,1,,10,4,4,4,4,4,4,1,1,2,1,,2,,3,4,4,4,4,4,4,5,5,6,1,,2
114,1,1,5,1,1,,2,4,3,3,3,4,4,1,11,2,1,,2,,3,4,3,3,3,4,4,6,8,6,3,,2
115,1,1,3,2,1,,1,4,4,3,3,3,3,1,1,2,3,,2,,1,4,2,2,3,3,3,4,4,6,3,,2
116,1,1,4,1,1,,3,4,4,4,3,4,4,10,10,6,3,"전통주만을 판매하는 한식술집에서 각 지방의 다양한 전통주들과 페어링 되는 음식들. 기본적으로 전통주에 대한 이해력이 부족하기 때문에 고객의 취향에 맞게 추천을 잘 해줄 수 있어야하며, 그에 맞는 음식 추천이 중요하다고 할 수 있다. 위스키와 초콜릿, 와인과 치즈처럼 전통주도 각각 맞는 음식이 있다. 따라서 전통주에 대한 이해도가 높은 사람이 추천을 해주는 것이 가장 중요하다고 본다. ",2,,8,5,5,5,5,5,5,5,9,6,3,"Whisky와 수제 맥주 같은 경우는 우리나라의 주류 문화에서 조금 소외된 부분이 많다. 하지만해외에서는 Whisky와 맥주는 퇴근 후 가볍게 동료들과 이야기하며 한 잔씩 마시기도 하며, 알콜홀릭이 아닌 음주를 즐기는 사람들이 여러가지 맛과 향을 느끼면서 즐긴다. 따라서 모르고 그저 취하기 위해 마시는 것과 알고 즐길 줄 아는 것과는 확연한 차이가 있다. 따라서 역사를 알고 풍미를 느낄 수 있다면 진정으로 즐길 수 있다.",2
117,1,1,3,1,1,,4,4,3,3,4,4,4,2,6,1,3,대학교 2학년때 선배의 생일때 전여친과 함께 마셨던 막걸리와 케익...맛있었는데...,2,,1,4,4,3,2,2,3,1,4,6,5,"우리집에서 알바하는 애들이랑 같이 함께 해뜰때까지 부었던것 족발,피자,국수랑 먹었음",2
118,1,1,5,2,1,,1,5,5,5,5,5,4,1,11,2,3,,2,,1,3,3,3,2,3,3,2,4,6,3,,2
119,2,4,5,1,1,,2,3,3,3,2,2,2,1,11,2,5,,2,,3,3,3,3,3,3,2,6,7,1,5,,2
120,1,1,5,1,1,,10,4,5,3,4,3,3,2,11,6,5,,2,,4,5,4,3,4,4,2,2,8,6,3,,2
121,1,5,1,1,1,,16,4,4,4,4,4,4,1,3,5,2,,2,,3,1,1,1,1,1,1,1,1,4,5,,2
122,1,1,5,1,1,,5,4,3,3,4,4,4,1,11,2,3,이자카야 가서 화요에 토닉 타먹으면 크 이게 맛이지~,2,,4,4,4,3,5,5,5,1,2,6,3,,1
123,1,1,4,1,1,,1,4,4,4,4,4,4,3,11,2,3,,2,,1,3,3,3,3,3,3,1,4,6,3,,2
124,2,3,5,1,1,,1,4,4,4,4,4,4,1,1,2,3,,2,,1,4,4,4,4,4,4,2,2,2,3,,2
125,2,1,4,2,2,2,,,,,,,,,,,,,,,4,2,3,2,2,3,3,1,2,1,3,,1
126,1,1,3,1,1,,99,4,5,3,4,4,3,1,11,2,3,어느순간부터 비오면 막걸리가 먹고싶다란 생각이 든다 약간 파블로프의 개 같은 조건반사같은 느낌..,2,,1,4,3,4,3,5,4,1,3,6,3,.,2
127,2,1,4,1,1,,3,4,4,4,4,4,4,4,11,2,3,누룽지 백숙과 함께먹어도 맛있다.,2,,1,3,3,3,3,3,3,4,4,6,1,,2
128,1,2,4,1,1,,9,5,5,3,4,5,5,1,2,3,5,"날씨가 우울한날  잘어울림, 전통주는 기름기 있는 음식과 잘어울림/ 예담+회/백화수복+삼겹살",2,,5,4,5,3,4,5,5,1,1,1,2,맥주와 노가리/맥주와 치즈,2
129,2,4,1,1,1,,13,3,4,3,2,2,4,2,6,2,6,민속촌을 방문후 생각나는 전통주 판매집에서 먹던 파전과 도토리묵,1,복용후 골때려서,5,3,2,3,2,3,2,1,4,3,3,,1
130,2,4,3,1,1,,10,3,3,3,3,3,2,4,10,2,3,,3,,3,3,3,3,3,3,3,11,11,2,3,비오는날동태전에,2
131,1,2,3,1,1,,17,3,3,3,3,3,4,1,11,2,3,비오면 괜찮은데 비오면 파전에 막걸리는 진리 아닌가?,2,,1,4,4,4,3,3,4,1,2,6,1,그냥 기분에 따라 날씨는 상관없잔아,2
132,1,1,4,1,1,,3,4,4,4,4,4,4,7,6,3,3,막걸리에 꿀을 넣어 먹으면 꿀맛이다.,2,,3,5,5,5,5,5,5,6,6,6,3,맥주를 마시려면 얼음잔에 마셔라!,2
133,2,1,5,2,1,,18,5,5,5,5,5,5,4,1,6,3,,2,,3,4,4,4,4,4,4,1,6,6,3,,2
134,1,1,4,1,1,,10,4,4,4,4,4,4,2,11,2,3,,2,,1,4,4,4,4,4,4,1,1,6,3,,2
135,2,2,4,1,1,,4,3,4,3,4,2,3,3,3,5,3,,2,,3,4,4,4,4,4,3,6,9,1,3,,2
136,2,2,4,1,1,,4,3,4,3,4,2,3,3,3,5,3,,2,,3,4,4,4,4,4,3,6,9,1,3,,2
137,1,1,4,1,1,,1,5,5,5,5,5,5,2,1,2,3,,1,3,3,5,5,5,5,5,5,1,1,2,3,,3
138,1,1,5,2,2,4,,,,,,,,,,,,,,,2,4,4,3,4,4,3,9,9,1,5,"가끔씩 우울할 때나 잠이 오지 않을때 과자와 곁들여 먹고, 날씨가 좋을 때 마시면 더 맛있을 것이다.",2
139,1,4,2,1,1,,19,4,4,4,4,4,4,11,11,6,2,,2,,1,3,3,3,3,3,3,4,3,6,1,,2
140,2,1,5,1,1,,7,3,3,4,3,4,3,3,3,5,3,,2,,3,4,4,4,4,4,4,2,8,6,3,,2
141,1,1,3,2,1,,99,4,4,4,4,4,4,2,3,6,2,,1,3,3,4,4,4,4,4,4,2,2,6,2,,3
142,1,1,3,1,1,,1,4,4,4,3,4,5,2,11,2,5,,2,,3,3,3,4,4,4,4,1,9,6,5,,3
143,2,4,5,1,1,,10,3,3,3,3,3,3,2,2,6,5,,2,,1,4,4,4,4,4,4,4,4,6,3,,2
144,1,4,5,2,2,2,,,,,,,,,,,,,,,3,4,3,3,3,4,4,3,3,5,3,,2
145,2,1,5,1,1,,10,3,3,2,3,4,3,5,5,6,5,,2,,5,4,4,4,4,4,4,5,7,6,3,,2
146,1,1,5,2,2,2,,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,9,6,4,기분 좋은 날 집에서 자기 전에 한 캔 똑딱,2
147,1,1,3,1,1,,99,4,4,4,4,4,4,1,11,4,5,비오는 날 파전애 막걸리,2,,3,4,4,4,4,4,4,5,8,6,3,,2
148,1,1,4,2,1,,11,3,4,3,4,3,4,1,11,6,3,,2,,6,4,4,5,4,5,4,1,8,6,3,,2
149,1,2,5,1,1,,2,4,3,3,5,4,4,2,2,6,1,,2,,3,4,4,3,4,3,5,7,8,6,1,,2
150,1,3,4,1,1,,1,3,3,3,3,3,3,11,11,2,3,,2,,3,3,3,3,3,3,3,8,8,6,3,,2
151,1,1,5,1,1,,10,3,2,2,3,4,3,1,1,2,5,전통주는 예쁜 잔에 마시면 더 분위기도 좋아지고 좋은 기억을 주는 것 같아요,2,,5,3,4,3,4,3,3,7,7,6,3,흑맥주잔에 계피가루를 묻혀주는데 진짜 맛있어요,2
152,1,1,5,1,1,,20,3,4,2,2,3,4,2,11,2,3,,3,,3,4,4,3,4,4,4,6,8,6,5,야구장,2
153,2,4,4,1,2,2,,,,,,,,,,,,,,,3,3,3,3,3,3,3,6,6,6,5,,2
154,2,3,5,1,1,,1,2,2,2,2,2,2,11,11,3,1,,3,,2,3,1,2,2,3,2,6,10,5,3,,2
155,1,1,5,2,2,2,,,,,,,,,,,,,,,1,4,4,4,4,4,4,1,1,6,3,,2
156,1,1,4,1,1,,3,4,3,4,4,4,4,1,11,3,3,,2,,3,5,3,3,5,5,5,7,8,6,3,,2
157,2,4,4,1,2,2,,,,,,,,,,,,,,,3,3,3,3,3,3,3,6,6,4,3,,3
158,2,4,5,2,1,,1,3,3,3,3,4,4,11,10,2,1,모임에서. 골뱅이무침. 아무날,1,잘 먹는 사간이 없다 거이 집순이,5,4,3,3,3,3,3,8,6,2,1,거이 없다. ,1
159,2,1,5,1,1,,99,3,3,2,4,4,3,4,11,2,3,,2,,3,3,3,3,2,4,3,7,8,1,3,,2
160,2,3,2,1,1,,2,4,4,4,4,4,4,2,11,2,3,비오는날  시장에서 머릿고기,2,,1,4,4,4,4,4,4,2,11,2,3,,2
